FIPS,c,s,m15,mdf,mx14,mxdf,m
19119,Lyon County,Iowa,4000,1000,8000,0,5000
19121,Madison County,Iowa,4000,0,8000,0,5500
19123,Mahaska County,Iowa,4000,0,8000,0,5500
19125,Marion County,Iowa,4000,0,8000,0,5500
19127,Marshall County,Iowa,4000,0,8000,0,5500
19129,Mills County,Iowa,4000,0,8000,0,5500
19131,Mitchell County,Iowa,4000,0,8000,0,5500
19133,Monona County,Iowa,4000,0,8000,0,5500
19135,Monroe County,Iowa,4000,0,8000,0,5500
19137,Montgomery County,Iowa,4000,0,8000,0,5500
19139,Muscatine County,Iowa,4000,0,8000,0,5500
19141,O'Brien County,Iowa,4000,1000,8000,0,5000
19143,Osceola County,Iowa,4000,1000,8000,0,5000
19145,Page County,Iowa,4000,0,8000,0,5500
