FIPS,c,s,bi,bf,si,sf,gi,gf,pi,pf
20167,Russell County,Kan.,6344,12689,2907,5814,1057,2114,,
20169,Saline County,Kan.,6344,12689,2907,5814,1057,2114,,
20171,Scott County,Kan.,6436,12871,2873,5745,1133,2267,,
20173,Sedgwick County,Kan.,6344,12689,2907,5814,1057,2114,,
20175,Seward County,Kan.,6436,12871,2873,5745,1133,2267,,
20177,Shawnee County,Kan.,6344,12689,2907,5814,1057,2114,,
20179,Sheridan County,Kan.,6436,12871,2873,5745,1133,2267,,
20181,Sherman County,Kan.,6436,12871,2873,5745,1133,2267,,
20183,Smith County,Kan.,6436,12871,2873,5745,1133,2267,,
20185,Stafford County,Kan.,6436,12871,2873,5745,1133,2267,,
20187,Stanton County,Kan.,6436,12871,2873,5745,1133,2267,,
20189,Stevens County,Kan.,6436,12871,2873,5745,1133,2267,,
20191,Sumner County,Kan.,6344,12689,2907,5814,1057,2114,,
20193,Thomas County,Kan.,6436,12871,2873,5745,1133,2267,,
